iter	Passed	Remaining
217	990	3554
218	994	3547
219	998	3541
220	1003	3535
221	1006	3528
222	1011	3523
223	1015	3516
224	1019	3511
225	1023	3504
226	1027	3498
227	1031	3491
228	1035	3486
229	1042	3490
230	1046	3483
231	1050	3478
232	1055	3473
233	1059	3467
234	1063	3461
235	1067	3454
236	1071	3448
237	1075	3442
238	1079	3435
239	1083	3430
240	1087	3424
241	1091	3418
242	1095	3413
243	1100	3408
244	1104	3402
245	1108	3396
246	1112	3391
247	1116	3385
248	1120	3379
249	1124	3372
250	1128	3367
251	1132	3362
252	1136	3356
253	1140	3349
254	1144	3343
255	1148	3337
256	1152	3332
257	1157	3328
258	1161	3322
259	1165	3316
260	1168	3309
261	1173	3304
262	1177	3298
263	1181	3293
264	1185	3287
265	1189	3282
266	1193	3277
267	1197	3271
268	1201	3266
269	1206	3261
270	1210	3256
271	1214	3250
272	1218	3245
273	1223	3241
274	1227	3236
275	1232	3233
276	1236	3228
277	1240	3222
278	1245	3218
279	1249	3213
280	1253	3208
281	1258	3203
282	1262	3197
283	1266	3193
284	1271	3188
285	1275	3183
286	1279	3179
287	1283	3173
288	1287	3167
289	1291	3163
290	1296	3157
291	1300	3153
292	1304	3147
293	1308	3143
294	1313	3138
295	1317	3133
296	1321	3128
297	1325	3123
298	1330	3118
299	1334	3113
300	1338	3108
301	1342	3103
302	1346	3098
303	1351	3094
304	1355	3089
305	1359	3084
306	1364	3079
307	1368	3074
308	1372	3069
309	1376	3064
310	1380	3059
311	1384	3053
312	1388	3048
313	1392	3042
314	1396	3037
315	1400	3032
316	1404	3026
317	1408	3021
318	1412	3015
319	1416	3010
320	1421	3006
321	1425	3000
322	1429	2996
323	1433	2991
324	1437	2986
325	1442	2982
326	1446	2977
327	1451	2973
328	1455	2968
329	1460	2964
330	1464	2960
331	1468	2955
332	1473	2950
333	1477	2945
334	1481	2940
335	1485	2935
336	1489	2930
337	1494	2926
338	1498	2921
339	1502	2916
340	1506	2911
341	1510	2906
342	1514	2901
343	1519	2897
344	1523	2892
345	1527	2887
346	1531	2882
347	1535	2877
348	1539	2872
349	1543	2867
350	1548	2862
351	1552	2857
352	1556	2852
353	1560	2848
354	1565	2843
355	1569	2839
356	1573	2834
357	1578	2829
358	1581	2824
359	1586	2819
360	1590	2815
361	1594	2810
362	1598	2805
363	1602	2800
364	1607	2795
365	1611	2791
366	1615	2786
367	1620	2782
368	1624	2778
369	1628	2772
370	1632	2767
371	1636	2763
372	1641	2759
373	1645	2754
374	1649	2749
375	1654	2745
376	1657	2739
377	1661	2734
378	1666	2729
379	1670	2725
380	1674	2720
381	1678	2715
382	1682	2710
383	1687	2706
384	1691	2702
385	1695	2697
386	1700	2692
387	1704	2689
388	1708	2684
389	1713	2679
390	1717	2674
391	1721	2669
392	1725	2664
393	1729	2659
394	1733	2655
395	1737	2650
396	1741	2645
397	1745	2640
398	1750	2635
399	1754	2631
400	1758	2626
401	1762	2621
402	1766	2616
403	1770	2611
404	1774	2607
405	1778	2602
406	1783	2598
407	1787	2593
408	1791	2588
409	1795	2583
410	1801	2582
411	1806	2577
412	1810	2572
413	1814	2568
414	1818	2563
415	1823	2559
416	1827	2554
417	1831	2549
418	1835	2545
419	1840	2541
420	1844	2536
421	1848	2531
422	1852	2526
423	1856	2521
424	1860	2517
425	1864	2512
